,reviewID,cust_travel_type,travel_custer_no,custCountry,countryRegion,star_rating,comment,Concept_bed,Concept_easy,Concept_bad,Concept_small,Concept_place,Concept_easy to access,Concept_expensive,Concept_wifi,Concept_like,Concept_night,Concept_helpful,Concept_pool,Concept_problem,Concept_singapore,Concept_comfortable,Concept_old,Concept_friendly,Concept_pleasant,Concept_would recommend,Concept_satisfied,Concept_hotel,Concept_quiet,Concept_service,Concept_location,Concept_excellent,Concept_large,Concept_check in,Concept_good,Concept_convenient,Concept_clean,Concept_price,Concept_time,Concept_relaxing,Concept_restaurants,Concept_stay,Concept_breakfast,Concept_room,Concept_fast,Concept_food,Concept_staff,Concept_family,Concept_bath room,Concept_shopping,Concept_experience,Concept_free,Concept_mrt,Concept_better,Concept_roomy,Concept_nearby,Concept_swimming pool
6804,3928,Business Travelers,2.0,Malaysia,South East Asia,7.7,Clean hotel and room are comfortable. Very friendly staffs and always with smile. Value for money. Clean hotel and room are comfortable. Very friendly staffs and always with smile. Value for money,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6813,201,Solo travelers,6.0,Indonesia,South East Asia,7.3,"We stayed in standard twin room (with two 140cm bed). The hotel has spacious room with classic Victorian style. Only 5 minutes walking to Bugis Junction Shopping Mall and Bugis MRT. However, the furnitures are a bit outdated, especially the carpet. The carpet looked like it's 20 years old with a strange smell. The room needs to be refurbished.",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6822,5785,Business Travelers,2.0,Hong Kong,East Asia,5.3,"Like the hotel's room and location. Service was really bad though. Toiletories never get replensished fully (they'll give you shower gel but not shampoo). Had to call room service to get toiletories replenished everyday and was met with really rude staff. Once we called to ask for shower cap, only to realise later that we didn't have shower gel. When the staff came, we asked for shower gel and the staff simply said, ""why didn't you ask just now when you asked for shower cap?"". Came back and instead of giving, she threw the shower gel at us. I don't think I have met such rude staff even when I was back-packing all around Europe.",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6831,4877,Couples,1.0,Singapore,South East Asia,9.7,Love the hotel and the rooms. Great variety of room service food and nearby to local eateries and shopping!,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
6867,1455,Couples,1.0,Thailand,South East Asia,6.3,"pricing is a bit too high if compared to what i get., the plastic cup in the bathroom doesnt seem proper to use., only one free bottled water is not enough., decoration in the room looks quite cheap., the check-in process is very old fashioned.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
6876,5679,Couples,1.0,Brunei Darussalam,South East Asia,8.0,Everything is fine except the pillows too flat to sleep on.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6894,4878,Families with Young Children,4.0,Malaysia,South East Asia,7.0,hotel is located at the 'end' of Orchard Road so need to walk quite far to reach the shopping area. It's noisy when somebody pass by or talking outside the room.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6903,5421,Families with Young Children,4.0,Singapore,South East Asia,6.7,A pleasant experience overall. Room was big and could easily fit 2 adults and 2 kids.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6921,4203,Groups,5.0,Malaysia,South East Asia,8.3,Excellent with clean and big room space. Staff was nice and friendly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6930,958,Couples,1.0,Malaysia,South East Asia,9.0,"Room is clean and comfortable. However, the hotel lobby is located on 4th floor. From ground floor, we have to go to 4th floor and from 4th floor we have to take another lift to our room. It's only a bit hassle for this part. Otherwise, the location of the hotel is good.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6939,1044,Business Travelers,2.0,Thailand,South East Asia,7.0,Generally satisfied. Got problem with lights in the room but the staff came to fix it quickly.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
6948,3900,Couples,1.0,Singapore,South East Asia,8.0,"Clean room n toilet comfortable bed, good service",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6957,2313,Business Travelers,2.0,United Kingdom,Europe,6.7,The experience is positive. The room is small but clean and new.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6966,2823,Families with Older Children,3.0,Malaysia,South East Asia,8.3,"I will recommend to my friends. However, price is rather on the high side considering our exchange rate.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6975,1270,Solo travelers,6.0,Singapore,South East Asia,8.0,"lovely stay , safe , easy trasnport , friendly staff , near entertainment area.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
6993,5386,Business Travelers,2.0,Singapore,South East Asia,8.0,It was an enjoyable stay as the room was clean and staff were friendly. Room service was good,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
7002,2244,Couples,1.0,Singapore,South East Asia,7.0,"upon checking out, took quite long in queuing. Should have free parking for hotel guess.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7011,2576,Business Travelers,2.0,Vietnam,South East Asia,7.7,"the location is good, easy to get a cab, near Chinatown and Orchard road, bed too small in my room, and no free wifi. Room was clean, quiet with quite new furniture... The bed's linen is soft and comfortable",1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
7020,3456,Couples,1.0,Singapore,South East Asia,7.7,Stay at the PARKROYAL on Kitchener Road Hotel was a pleasant one. Room was relatively spacious for the price paid for hotels in Singapore. Hotel is situated very close to a 24 hours shopping mall and several restaurants. It is also conveniently located near the MRT and travelling to the city is easy.,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
7038,2408,Couples,1.0,Singapore,South East Asia,8.0,Good customer service with good amenities and facilities Will come back again,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7047,4406,Business Travelers,2.0,Thailand,South East Asia,8.7,"Firstly, I was impress with hotel employees. They're very friendly and welcoming. The room was nice, tidy and clean. Toilet is clean and cozy. Very reasonable price and nice location as well (about 10 mins walk to Orchard Rd.).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7065,5222,Solo travelers,6.0,Indonesia,South East Asia,8.7,"Generally we're satisfied with this hotel as the room was exactly as we expected, it's clean, spacious and the hotel also accomodate our special request for free baby crib and nice view. The hotel also have easy access to MRT and Bus Station, completely strategic location. The only thing we're disappointed about during our stay was the Menu of the breakfast was same everyday, and it was completely lack of Variety. They only serve us with Indian Food everyday, I couldn't find any animal protein there, not even a simple egg food. Yet, we absolutely will stay at this hotel at next visit to singapore, off course we will consider breakfast outside the hotel",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0
7074,1724,Couples,1.0,Indonesia,South East Asia,7.7,Free wifi with high speed connection Clean room with lots of amenities Easy to access public transport ... direct access to mrt Located next to the shopping mall Bad thing is the room is kind of too small and the breakfast is so so,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
7083,4106,Couples,1.0,Singapore,South East Asia,8.3,"Totally enjoyed our first stay at the Amara Hotel Singapore. The check-in was smooth and we were given two joining rooms which were great for me and my family. The breakfast was average but there were good enough selection everyday. The location of the hotel is near Chinatown and the Marina bay Sands, and about 10-15 drive away from Orchard Road shopping street. On the whole we enjoyed our stay very much. Will be back soon.",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0
7092,5263,Business Travelers,2.0,Singapore,South East Asia,8.0,It was excellent! The staff were friendly and helpful,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7101,3841,Couples,1.0,United Kingdom,Europe,7.3,Very pleased with the hotel. It's only 5 minutesalk from Little India MRT station and is very close to shops and restaurants. It's a bit expensive but all hotels are expensive in Singapore but the Parc Sovereign is very clean and worth the little bit extra in our opinion. We looked for a long time to find a decent hotel at a reasonable price and the Parc Sovereign was a good choice.,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7110,4782,Business Travelers,2.0,Thailand,South East Asia,8.3,"It is very close to public transporation, which allow easy access to other part of Singapore. The hotel is clean and confortable to stay in with friendly smiling staff.",0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7128,1972,Business Travelers,2.0,Singapore,South East Asia,9.3,"Very comfortable bed/pillows, buffet breakfast was good, a variety of foods to choose, very attentive check-in staff, checking out was a breeze.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7129,2091,Business Travelers,2.0,Singapore,South East Asia,9.3,"Very comfortable bed/pillows, buffet breakfast was good, a variety of foods to choose, very attentive check-in staff, checking out was a breeze.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7173,3881,Business Travelers,2.0,Malaysia,South East Asia,8.0,Staff is very familiar. They help me upgrade my standard room to be deluxe room.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
7182,5475,Families with Young Children,4.0,Singapore,South East Asia,10.0,We enjoyed our stay there. The location was conveniently located near to shopping districts. Many nice food nearby.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
7200,4150,Groups,5.0,Philippines,South East Asia,8.0,"Our stay was a pleasant one except for quite slow room service. The best feature of the hotel is its central location, close to the train station, shopping and food areas. The rooms given to us were quite large and comfortable.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
7209,4093,Business Travelers,2.0,Canada,North America,7.0,"Overall pleasant, greeted w/ fruit platter in room that I didn't eat. Fruit smelled after few days but cleaning ladies strangely left it there.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7218,3137,Couples,1.0,Singapore,South East Asia,7.0,"The front desk staff are excellent in their service. Very attentive to my requests and accommodating as well. Although there were some toiletries missing from my room, putting through a call to housekeeping solved that very quickly. The room was spacious and bed very comfortable. I would definitely want to stay here again.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
7227,2260,Groups,5.0,United Kingdom,Europe,6.7,"plesent, the staff is helpful. it's nice and cozy. the room is slightly small tho",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
7245,5096,Families with Older Children,3.0,Australia,Oceania,6.7,Very basic hotel with all that you require. Not particularly cheap. Close to the MRT which is very convenient for traveling around. Close to some trendy boutique shops and Bugis plaza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7254,935,Business Travelers,2.0,Indonesia,South East Asia,7.7,"It's really fun and nice, location of this hotel near to lot of shopping center, it caused us to do shopping every day.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
7263,3955,Solo travelers,6.0,Malaysia,South East Asia,6.0,"Consistent good service, clean, convenient location",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7272,5289,Couples,1.0,Indonesia,South East Asia,6.0,"EVERYTHG ARE FINE EXCEPT THE WALL, WE CAN HEAR PEOPLE ON CORRIDOR AND NEXT DOOR SPEAK LOUDLY WHICH IS VERY UNCOMFATABLE AS MANY NOISE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7281,2474,Solo travelers,6.0,Malaysia,South East Asia,7.3,"Comfortable, cleanliness, honest staff and value for money.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7290,5460,Groups,5.0,Hong Kong,East Asia,8.3,Nice stay. Staff are helpful and efficient. Clean room and comfort bed.,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
7299,5633,Business Travelers,2.0,China,East Asia,8.0,"It was a short but pleasant stay. The centrally situated location allows easy access to shopping, restaurants and sight seeing locations. The easy access of public transport also allows convenience around Singapore. Hotel is recommended for business and holiday travelers - whether travelling alone or with family.",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
7308,533,Families with Older Children,3.0,Malaysia,South East Asia,6.7,"Overall ok but next time would not come back cox their location actually very close with shopping area and need walk quite long distance. Staff at front desk some ok, some need improve.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
7317,1514,Couples,1.0,Indonesia,South East Asia,6.3,Location is not really good. Hard to find taxi. They provide shuttle bus to novena MRT. However i found it trouble,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7326,4554,Couples,1.0,Malaysia,South East Asia,8.7,"I am very satisfy with my stay in this hotel. The price is reasonable, 5 stars hotel 4 stars charges.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7335,5567,Business Travelers,2.0,Australia,Oceania,9.3,"Comfortable in a word. The staff are friendly and speak english well. Though didn't book breakfast, plenty of restaurants within walking distance offer a variety of options. Centrally located and easy access, all the taxi drivers know the place. Takes approximately 20 to 30 min to get to Changi airport. Close to all other transport.",0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7344,2574,Business Travelers,2.0,United Kingdom,Europe,8.0,"Excellent, will stay there again. Staff very efficient and overall good value for money.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7353,2803,Couples,1.0,Indonesia,South East Asia,7.7,"it was nice. the hotel is near from bugis market and bigis junction. the bus stop right in front of the hotel. but if you wanna go by MRT, you have to walk ard 5-10mins. the room is perfect for two person. not too big and not too small. the bathroom is clean. recommended hotel for those who want to explore singapore.",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
7362,1411,Families with Young Children,4.0,Malaysia,South East Asia,7.7,"Generally a pleassant and memorable stay. However was not too pleased with the parking system as I was wrongly charged when using the complimentary ticket. The hotel should have given clear instructions on how to use it. This aside, I will still return to this hotel in the future.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7380,2382,Couples,1.0,United Kingdom,Europe,8.3,"My stay at the Big Hotel was pleasent. The hotel istelf is centrally located and Bras Basah was around 200 metres walking distance. The staff were friendly and helpful. Please note that when you check in you have to give SGP$100 deposit for the room. This is returned on check out. The rooms were compact and very tight but had character and were nicely finished. The decor was lovely, with beautiful Danish influence in all the furniture. There is no fridge in the room and very little storage but this was manageable for the 2 nights we were staying there. I would recommend this hotel for someone that needs a base for the weekend and is there just to shop. We did not go for the breakfast option, so I cannot comment on the standard of food. The restaurant/bar did look very nice. Overall a pleasent stay and I would use this hotel again.",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
7389,4810,Families with Young Children,4.0,Vietnam,South East Asia,9.7,"Its was nice to stay there, everything is fine. Swimming pool is good. Staffs are very warmly and friendly.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7398,1065,Solo travelers,6.0,Indonesia,South East Asia,8.0,"we realy enjoy stayed at this hotel, n we will return to this hotel next occasion.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7407,5194,Business Travelers,2.0,Singapore,South East Asia,8.0,It was a good stay. The staff were helpful and friendly,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7416,5344,Families with Young Children,4.0,Indonesia,South East Asia,7.3,"We like to stay here because staf is friendly and near to go shopping and MRT also, so is recomended to stay here.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
7425,1914,Families with Young Children,4.0,Malaysia,South East Asia,8.3,"this was my second stay in this hotel, it was near to shopping area and the room was clean and wifi very good",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
7426,2033,Families with Young Children,4.0,Malaysia,South East Asia,8.3,"this was my second stay in this hotel, it was near to shopping area and the room was clean and wifi very good",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
7452,1181,Families with Young Children,4.0,Malaysia,South East Asia,6.7,"The room is clean & large for Singapore standard. We liked the super king sized bed a lot. However, the pool was down for renovation when we're there.",1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7461,2321,Couples,1.0,Malaysia,South East Asia,7.7,"Car park is expensive as it's not belongs to Hotel. With same amount of money spent, other similar in Bugis will be better choice. Only great thing is location. No Swimming pool available too.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
7470,3788,Families with Young Children,4.0,Malaysia,South East Asia,8.3,"Stayed 2 nites with my family. Very satisfied with the rooms, clean & modern. Very friendly and helpful reception staff. Easy access to 7/11 downstairs. But internet was very slow. Overall its a good hotel which I would come back to stay.",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7479,3422,Families with Young Children,4.0,Indonesia,South East Asia,6.7,"i like it, comfort, but unfortunately my next room every night so noisy, they talking too loud. the voice come from the connecting door",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7488,5799,Couples,1.0,Australia,Oceania,8.3,Have stayed at this hotel on many occasions and each time we have been very impressed. Close to an MRT station and a short taxi ride to most tourist attractions.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7515,1503,Families with Older Children,3.0,United Kingdom,Europe,8.7,Most taxi drivers don't know where it is as it's relatively new. we just said Zhongshan Park and then they seemed to know.There is also a shuttle service. The rooms are small but very clean and well presented. No faults as far as we were concerned. Just a bit small for three adults.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7524,2672,Couples,1.0,Malaysia,South East Asia,8.3,"Central city location, easy access to everywhere with great transport system. Clean and spaces hotel room & bathroom.Comfortable big bed, walking distance to shopping mall , tourist spot & MRT station. Awesome!!",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7533,1533,Families with Young Children,4.0,Singapore,South East Asia,9.0,"The staffs are friendly and helpful, prompt. Surprise though when 1 of them came in for room service and ask me to speak mandarin on my request. Imagine if I'm someone from Scandinavian countries? The villa is spacious, comfortable and love the option to shower outdoor within the villa. Spoiled by the huge bathroom. Pool is too small to someone who enjoys swimming. Perfect place to chill with small family.",0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0
7560,3398,Couples,1.0,Singapore,South East Asia,8.0,"Check in-out was fast, Staff was attentive and helpful, overall a pleasant stay",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
7569,2437,Couples,1.0,Malaysia,South East Asia,8.3,"Overall it was great, really worth the money. Around 8 mins walk from Tanjong Pagar mrt, pool was great, there is a bar in the hotel for us to countdown. Room service is fast, the food is awesome and value of money.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
7578,5227,Families with Young Children,4.0,Indonesia,South East Asia,9.0,"It's great for our vacation because location of hotel in the center of city bugis, and near restaurant with indonesian food",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
7587,1477,Families with Older Children,3.0,Indonesia,South East Asia,8.3,"Very satisfied with a special rate,nice and clean room,bright light,good bathroom but water pressure too low,free Wifi,happy with a supermarket just below and many other food stalls and even a drug store,also 24 hour convenient store,free shuttle bus to novena MRT.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0
7596,3938,Business Travelers,2.0,Malaysia,South East Asia,6.0,"clean and new,even the car park area. Good for first impression",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
